# num_gen, best, avg
1 79793.1 109986
2 78095.8 106475
3 77403.9 103373
4 74791.3 99813.4
5 71888.7 95786.5
6 70837.3 94120.3
7 67310 91729.5
8 66929.9 90030.2
9 65230.4 89598.8
10 64064.3 88795.7
11 64064.3 87087.3
12 63082 84984.3
13 61730.6 85327.9
14 58880.4 85220.3
15 58880.4 86536.3
16 58880.4 85456.5
17 58880.4 83867
18 57207.1 82773.1
19 51076.1 82267.2
20 51076.1 81044.4
21 51076.1 80806.2
22 51076.1 80757.6
23 50684.5 79440
24 50684.5 79644.1
25 50684.5 77854.3
26 50684.5 76345.6
27 48577.5 76364.3
28 48577.5 76990.6
29 46379.5 75003.6
30 46379.5 73727
31 46379.5 73384.1
32 46379.5 72769.5
33 46379.5 71894.7
34 46379.5 69920.2
35 45507.9 68846.4
36 45308.8 69690.5
37 45308.8 69798.2
38 44760.3 70618.5
39 44760.3 71621.1
40 44760.3 71103.8
41 44760.3 70691.2
42 43772.5 70175.8
43 43361.6 69386.1
44 43361.6 68843
45 43361.6 68938.3
46 43361.6 68249.4
47 41817.8 67490
48 41817.8 67739.3
49 41817.8 67491.2
50 41817.8 66627
51 41817.8 66692.1
52 41817.8 67434
53 41817.8 66022.2
54 41817.8 65450.6
55 41435.5 66474
56 41435.5 66469.2
57 41435.5 67313.3
58 40188.4 68289.6
59 40188.4 67037.6
60 40188.4 67336.5
61 40188.4 67969.7
62 40188.4 66203.2
63 40188.4 65799.6
64 40188.4 65666.8
65 40188.4 64812.7
66 39935 63746.5
67 39935 64088.2
68 39935 63681.8
69 39935 62479.4
70 39721 63240.1
71 39370.8 63505.5
72 39370.8 62268.5
73 39370.8 61347.9
74 39370.8 60498.5
75 38954.1 61219.4
76 38954.1 60400.5
77 38857.3 60567.9
78 38558.6 60539.7
79 38558.6 61187.1
80 38558.6 59668.1
81 38215.9 60409.7
82 38215.9 59608.8
83 38215.9 59476.2
84 38215.9 58734.3
85 38215.9 58599
86 38215.9 57783.7
87 38215.9 58222.8
88 38215.9 57550.2
89 38215.9 57671.7
90 38119 56539.5
91 34525.2 56199
92 34525.2 56475.5
93 34525.2 57332.5
94 34525.2 57787.9
95 34525.2 58242.3
96 34525.2 59772.9
97 34525.2 59667.3
98 34440.5 59225
99 34440.5 60169.9
100 34440.5 60274.5
101 34440.5 59938.6
102 34440.5 58610.1
103 34440.5 58510.9
104 34382.1 58329.4
105 34382.1 58345.7
106 34382.1 57119.1
107 34382.1 57096.4
108 34382.1 56254
109 34382.1 54234.3
110 34382.1 52371.8
111 34382.1 51902.4
112 34382.1 50904.1
113 34382.1 51472.8
114 34382.1 51424.7
115 34382.1 51914.4
116 34382.1 52504.6
117 34382.1 51813.2
118 34382.1 50342.1
119 34382.1 50067.8
120 34382.1 50062
121 34382.1 50860.6
122 34180.4 51821.9
123 34180.4 52935.4
